Label,Seat tube length,Teeth on chainring 0,Wheel diameter front,Saddle height,Stack,Seat tube diameter,Head tube length textfield,Dropout spacing
2,248,25,674,718,565.6,27.2,100,135
2,432,44,740,715,565.6,31.8,100,130
1,590.7,53,674,667,565.6,28.6,118.6,130
1,590.7,53,674,667,565.6,28.6,122.3,130
1,321.8,23,690,380,565.6,31.8,125.7,130
1,614,42,674,770,565.6,28.6,180,130
1,479.1,53,674,615,565.6,31.8,108.3,130
1,515.1,46,674,718,565.6,31.8,145,130
1,515,53,674,718,565.6,31.8,145,130
1,513.2,53,674,718,565.6,31.8,145,130
1,539,53,676,748,565.6,29.2,177.7,130
1,535.6,53,670,718,565.6,28.6,91.1,130
1,297.4,53,674,718,565.6,31.8,120,130
1,555.5,53,674,725,565.6,50,96.4,130
1,525.6,53,670,627,565.6,28.6,94.2,130
1,552.1,53,674,662,565.6,31.8,102,130
2,490,32,698.5,810,565.6,31.8,166.4,130
1,573.2,53,674,768,565.6,31.8,175,130
1,541,53,674,768,565.6,31.8,200,130
1,0,3,863.6,610,565.6,28.6,60,130
1,598.1,53,674,772,565.6,31.8,199,130
1,541,53,674,768,565.6,31.8,200,130
1,573.2,53,674,768,565.6,31.8,175,130
1,590,53,674,718,565.6,31.8,160,130
1,515,53,674,718,565.6,40,145,130
2,530,32,626,810,565.6,31.8,175.1,130
1,503.8,50,674,698,565.6,31.8,150.1,130
2,482.6,44,736,733,565.6,31.8,111,135
2,560.9,32,670,760,565.6,25.4,123.6,130
1,509.1,53,674,718,565.6,31.8,135.5,130
2,546,44,736,830,565.6,31.8,130,135
1,583.1,53,674,772,565.6,31.8,183.9,130
1,551.1,53,674,723,565.6,34.9,159.3,130
1,559,46,674,730,565.6,31.8,161.1,130
1,582,50,674,725,565.6,28.6,147,130
1,593.2,48,674,800,565.6,31.8,181.6,130
2,430,44,910,724,565.6,31.8,100,135
1,550,53,674,718,565.6,31.8,145,130
1,767,49,674,840,565.6,31.8,145,120
1,742,53,674,718,565.6,31.8,177.5,130
1,602,53,674,780,565.6,31.8,177.5,130
2,546,44,736,850,565.6,31.8,137.8,135
1,507.7,53,674,718,565.6,28.6,133.4,130
1,550.4,53,622,725,565.6,28.6,153.1,135
1,508.1,44,740,751,565.6,31.8,125,130
2,311.4,38,649,436,565.6,31.8,98,135
2,290.6,32,565,360,565.6,31.8,120,130
1,570,48,661,716,565.6,28.6,147.9,130
1,430,46,495,780,565.6,28.6,200,135
1,525,40,674,772,565.6,28.6,95.2,130
1,614,50,647.9,724,565.6,28.6,167.7,135
2,436,44,670,590,565.6,31.8,112.7,135
1,577.1,53,674,662,565.6,31.8,145,130
1,464.2,50,674,645,565.6,31.8,105.5,130
1,464.2,50,674,645,565.6,31.8,105.5,130
1,447.2,50,674,636,565.6,31.8,135.3,130
1,430,70,774,628,565.6,28.6,91.5,135
2,310,42,674,429,565.6,31.8,110,135
2,357.4,43,674,460,565.6,31.8,145,135
2,315.3,28,694,370,565.6,31.8,125,130
1,289.4,32,580,330,565.6,31.8,110,130
1,514.4,53,466,555,565.6,31.8,309.2,130
2,345.8,28,674,430,565.6,31.8,115,130
1,516.9,53,700,802.7,565.6,35,145,120
1,596.9,53,674,718,565.6,31.8,144.6,130
2,520,42,699,753,565.6,35,138.3,135
1,535,40,674,718,565.6,28.6,108.4,130
2,505,44,670,735,565.6,31.2,165,135
1,637,52,689,810,565.6,28.6,197.3,130
1,306.2,32,694,395,565.6,31.8,125,130
2,482,44,690,725,565.6,28.6,130,135
2,470,32,737,671,565.6,28.6,117.6,135
1,617,40,695,810,565.6,28.6,172.2,130
2,490.2,36,690,725,565.6,28.6,123.3,135
1,527.5,53,674,665,565.6,31.8,115.4,130
1,490,53,674,655,565.6,31.8,81,130
2,370,36,630,520,565.6,31.8,80,130
2,298.7,32,600,450,565.6,31.8,100,135
2,350,36,630,560,565.6,40,100,135
1,595.6,50,680,770,565.6,28.6,154.3,130
1,520,48,685,662,565.6,27.5,79.7,130
1,552.5,48,674,700,565.6,28,110,130
2,400,44,670,580,565.6,31.8,111,135
1,552,53,674,718,565.6,31.8,145,130
2,449.5,44,736,700,565.6,31.8,146.5,135
2,353.4,36,640,550,565.6,40,100,130
2,482.6,36,740,733,565.6,31.8,111.9,135
1,325.8,34,600,400,565.6,31.8,120,135
2,410,43,611,630,565.6,28.6,152.9,130
2,380,28,750,460,565.6,29,102.3,135
2,435,36,670,673,565.6,25.4,116.5,135
1,514.7,53,674,718,565.6,31.8,126,130
2,353.4,36,640,550,565.6,40,100,130
1,515,53,674,718,565.6,31.8,145,130
1,665.3,55,674,765,565.6,35,185,130
1,560,50,674,759,565.6,36,140.9,130
1,591.7,53,674,759,565.6,31.8,148.8,130
2,465,53,674,718,565.6,31.8,100,130
1,465,53,674,660,565.6,31.8,110,130
1,468.9,53,674,660,565.6,31.8,100.6,130
2,355,32,736,665,565.6,31.8,90,135
1,517.6,53,674,718,565.6,31.8,145,130
1,338.9,25,674,425,565.6,31.8,145,135
1,316,32,610,375,565.6,31.8,100,135
1,569.2,50,674,680,565.6,28,120.2,130
1,569.2,50,674,680,565.6,28,122.1,130
1,505,50,674,680,565.6,28,114.6,130
2,465.1,53,674,733,565.6,31.8,125.1,130
2,419.9,33,674,718,565.6,31.8,150.7,130
1,579,53,674,718,565.6,31.8,140,130
1,596.8,53,674,706,565.6,31.8,143.2,130
1,584.7,50,674,798,565.6,31.8,171.4,130
1,590,50,674,742,565.6,31.8,170.2,130
1,584.7,50,674,798,565.6,31.8,169.5,130
2,450,36,736,740,565.6,28.6,90.1,135
1,637,40,685,810,565.6,28.6,208.8,130
1,606,48,674,778,565.6,28.8,165,130
1,449.8,50,614,627,565.6,31.8,138.4,130
1,500,50,700,740,565.6,31.8,105.8,130
1,649,42,674,828,565.6,28.8,145,130
2,440,36,736,729,565.6,28.6,100,135
2,480,32,736,671,565.6,28.6,115.1,135
1,609,42,674,808,565.6,28.8,160.9,130
1,251,20,400,300,565.6,31.8,120,130
1,582,53,674,775,565.6,31.8,161,130
2,480,36,736,749,565.6,28.6,105,135
1,540,46,700,718,565.6,28.6,125,130
1,550,53,674,800,565.6,31.8,104.2,130
1,439.4,53,674,666,565.6,31.8,98.3,130
1,439.4,53,674,666,565.6,31.8,98.3,130
1,439.4,53,674,666,565.6,31.8,98.3,130
1,657,46,690,810,565.6,28.6,219,130
2,530,33,736,770,565.6,31.8,115,130
2,495,42,670,786,565.6,34.9,145,135
2,495,42,670,786,565.6,34.9,145,135
2,580,33,670,770,565.6,31.8,180,130
1,630,50,674,865,565.6,31.8,191.4,130
1,630,50,674,865,565.6,31.8,191.4,130
2,400,53,674,673,565.6,31.8,142,130
1,570,53,674,718,565.6,31.8,175,130
2,426,40,665,600,565.6,31.8,136.4,135
2,412,53,740,673,565.6,31.8,113.5,130
1,743.3,53,674,795,565.6,31.8,202,130
2,480,36,736,720,565.6,28.6,105,135
1,743.3,53,674,795,565.6,31.8,202,130
1,600,32,640,800,565.6,31.8,193.5,130
1,600,32,700,800,565.6,31.8,160,130
1,600,32,700,800,565.6,31.8,180,130
1,630,50,674,865,565.6,31.8,191.4,130
2,450,33,736,700,565.6,28.6,90.1,135
2,405,44,670,580,565.6,31.8,110,135
1,534,44,674,743,565.6,28.6,116.8,130
1,575.3,53,659,718,565.6,28.6,254.1,130
1,515,53,674,807,565.6,31.8,145,130
1,465.3,53,629,600,565.6,28.6,139.5,130
1,600,32,640,800,565.6,31.8,180,130
2,430,44,736,665,565.6,31.8,94.6,135
1,439.4,53,674,666,565.6,31.8,98.3,130
1,439.4,53,674,666,565.6,31.8,98.3,130
1,520,50,700,700,565.6,31,149.2,135
1,579.9,50,674,764,565.6,31,151.3,130
1,515,50,674,812,565.6,31.8,145,130
1,640,50,674,840,565.6,29,199.9,130
1,480,50,674,680,565.6,31.8,130,130
1,570,53,674,769,565.6,31.8,163,130
1,525.9,50,678,726,565.6,28.6,165,130
1,594.2,53,674,718,565.6,31.8,163.9,130
2,485,44,736,738,565.6,31.8,170.7,135
1,594.2,53,674,718,565.6,31.8,163.9,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,306,43,694,395,565.6,31.8,125,130
1,546.7,50,680,726,565.6,28.6,151.1,130
1,516.1,42,682,718,565.6,31.8,152,120
1,465,53,674,718,565.6,25,118,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,594.2,53,674,718,565.6,31.8,163.9,130
1,535.9,52,674,721,565.6,31.8,143,130
1,431.2,42,600,620,565.6,31.8,161.2,135
1,315.7,25,700,365,565.6,31.8,125,130
1,431.2,42,615,620,565.6,31.8,102.1,135
1,464.9,53,674,689,565.6,33,136.1,130
1,645,53,674,718,565.6,31.8,180.3,130
1,580,50,685,730,565.6,28.6,132.7,130
1,580,50,685,730,565.6,28.6,132.7,130
1,580,50,685,730,565.6,28.6,132.7,130
1,556.8,53,674,718,565.6,31.8,131.9,130
2,285,32,600,340,565.6,31.8,100.4,130
1,515,53,674,718,565.6,31.8,145,130
1,515,53,674,718,565.6,31.8,145,130
2,520,39,690,780,565.6,28.6,147,135
1,515,53,674,718,565.6,31.8,145,130
1,600,50,674,737,565.6,31.8,109.7,120
1,616.3,53,700,718,565.6,31.8,120,130
1,606.4,49,700,718,565.6,31.8,110,130
2,535,32,736,760,565.6,30.4,130,135
1,515,53,674,857,565.6,31.8,145,130
1,563.8,53,600,700,565.6,31.8,90,130
1,685,47,692,870,565.6,28.6,259.4,135
2,520,39,690,780,565.6,28.6,140,135
2,516.5,25,670,718,565.6,31.8,145,135
1,640,50,674,840,565.6,29,199.9,130
1,514.8,53,674,745,565.6,31.8,140,130
1,520,32,730,770,565.6,31.8,174.9,135
1,540,53,674,718,565.6,40,165.9,130
2,507.2,53,736.7,718,565.6,28.6,125,135
2,590.4,32,736.6,839,565.6,31.8,231.5,135
1,503.3,50,674,645,565.6,31.8,90.5,130
2,520,42,670,700,565.6,31.8,180,130
1,635.3,53,674,718,565.6,31.8,180.2,130
2,492.6,44,700,660,565.6,28.6,108.8,135
2,410,32,740,785,565.6,31.8,105,135
2,540,52,689,795,565.6,35,200,135
1,513.3,53,674,670,565.6,31.8,145,130
2,540,52,689,795,565.6,35,200,135
2,406.8,36,740,673,565.6,28.9,107.1,135
1,580,48,685,730,565.6,28.6,132.7,130
1,547,53,674,718,565.6,31.8,103,130
1,561.9,53,674,718,565.6,31.8,111.8,130
1,580,50,675,718,565.6,34.9,190.2,130
1,560,50,675,710,565.6,34.9,185,130
1,605.5,46,674,718,565.6,31.8,115.2,130
2,750,39,736,799,565.6,34.9,110,135
1,514.3,53,674,810,565.6,31.8,145,130
1,547,53,674,700,565.6,31.8,103.8,130
1,561.9,53,674,700,565.6,31.8,111.8,130
2,520.7,34,682,650,565.6,26,54.4,120
1,575,53,674,718,565.6,28.6,140.4,130
1,421.4,42,615,620,565.6,31.8,141,135
1,550,50,674,751,565.6,34.6,157,130
2,450,52,685,620,565.6,28.6,152.2,135
1,480,53,674,654,565.6,31.8,101.6,130
1,538.8,53,674,718,565.6,31.8,183.8,130
1,488.5,53,674,718,565.6,31.8,115,130
1,480,53,674,654,565.6,31.8,105.7,130
1,596.1,46,674,718,565.6,31.8,115,130
2,333.8,13,674,420,565.6,40,105.4,135
2,350,30,660,470,565.6,31.8,113.2,135
2,300,30,660,400,565.6,31.8,138.5,135
2,395.1,40,674,550,565.6,31.8,120,130
1,562,53,674,700,565.6,31.8,113.1,130
2,373.8,23,674,500,565.6,31.8,118,130
2,377.7,53,674,450,565.6,31.8,120,130
1,562,53,676,730,565.6,31.8,113.1,130
1,600,32,640,800,565.6,31.8,203.3,130
1,580,53,674,718,565.6,28.6,140.4,130
2,401.5,42,635,500,565.6,31.8,86.2,130
1,596.1,46,674,718,565.6,31.8,115,130
1,519,53,674,683,565.6,31.8,138,130
1,560,46,700,715,565.6,31.8,145.1,135
1,515,53,674,718,565.6,31.8,145,130
1,565,50,674,751,565.6,31.8,171,130
1,560,50,674,751,565.6,31.8,155.3,130
1,580,50,674,751,565.6,31.8,174.6,130
1,540,50,674,751,565.6,31.8,150,130
1,565.6,53,674,718,565.6,28.6,120,130
1,596.7,53,674,718,565.6,31.8,145,130
1,477,50,504,750,565.6,28.6,220,130
1,470,37,700,650,565.6,31.8,27.1,135
1,580,48,685,730,565.6,28.6,131.4,130
2,430,39,740,722,565.6,40,103.4,135
1,257.7,25,500,400,565.6,31.8,110,130
1,516.9,53,674,718,565.6,31.8,158.8,120
1,205.8,20,500,310,565.6,31.8,120,130
1,515,46,674,671,565.6,28.6,145,130
1,368,28,700,500,565.6,31.8,122.7,130
2,552,53,674,718,565.6,31.8,138.6,130
2,552,38,700,740,565.6,31.8,126.6,130
1,500,53,674,742,565.6,31.8,137.4,130
1,635,53,674,736,565.6,43.8,153,130
1,499.1,53,674,718,565.6,31.8,145,130
1,580,53,674,762,565.6,31.8,180,130
1,560,53,674,807,565.6,31.8,169.5,130
1,561.9,53,674,700,565.6,31.8,118.5,130
1,550,50,674,840,565.6,29,109.5,130
1,593,53,674,780,565.6,35,154.6,130
2,515,53,674,718,565.6,31.8,145,135
1,548.7,52,694,700,565.6,31.8,150,130
1,295.1,33,674,400,565.6,31.8,110,130
1,472.9,52,674,760,565.6,27.2,167.7,130
1,520,50,674,685,565.6,31.8,99.1,130
1,486,53,674,718,565.6,34,51,130
1,515.7,39,670,746,565.6,31.8,163.1,135
1,520,50,674,684,565.6,31.8,88.9,130
2,345.5,30,674,518,565.6,31.8,110.4,135
2,393,34,700,718,565.6,31.8,90,135
1,580,53,670,718,565.6,31.8,185,130
1,520,53,674,718,565.6,31.8,129,130
2,500.5,25,680,698,565.6,40,145,135
1,516.2,39,673,746,565.6,31.8,181.9,135
1,580,48,685,730,565.6,28.6,131.4,130
2,555.5,53,674,600,565.6,31.8,156.9,130
2,516.1,53,674,718,565.6,31.8,145,130
1,606,52,674,820,565.6,28.8,166.1,130
1,509,53,674,683,565.6,31.8,124.9,130
1,516.2,39,673,746,565.6,31.8,181.9,135
1,543,53,674,718,565.6,31.8,149.1,130
1,509,53,674,683,565.6,31.8,125.6,130
1,596,50,692,790,565.6,31.8,151.4,130
1,580,53,670,718,565.6,28.6,185,130
1,589.1,49,674,718,565.6,28.6,161.1,130
1,540,52,670,718,565.6,28.6,185,130
2,450,52,685,620,565.6,28.6,152.2,135
1,550,53,674,733,565.6,31.8,150,130
1,516.1,53,674,649,565.6,31.8,145,130
1,606.6,45,674,730,565.6,31.8,160.8,120
1,577,53,627,718,565.6,31.8,180,130
2,358,20,700,420,565.6,31.8,100,135
1,689.9,50,674,715,565.6,28.6,100,130
1,580,48,685,730,565.6,28.6,131.4,130
1,490.7,53,674,671,565.6,31.8,152.9,130
1,515,53,674,718,565.6,31.8,145,130
1,480,50,674,680,565.6,31.8,130,130
1,480,50,674,680,565.6,31.8,115,130
1,500,50,674,680,565.6,31.8,110,130
2,285,53,584,718,565.6,31.8,115,130
2,715,36,736,755,565.6,28.6,135,135
2,315.5,32,674,500,565.6,40.8,100,130
1,340,42,592,550,565.6,31.8,100.6,120
1,451,32,700,650,565.6,31.8,145,135
1,263.8,20,600,380,565.6,31.8,145,130
1,515,53,674,718,565.6,31.8,145,130
2,715,36,736,755,565.6,28.6,100,135
2,307,32,674,375,565.6,30,111,130
1,515,53,674,718,565.6,31.8,150,130
2,494.8,32,736,680,565.6,34.8,120.6,135
2,400,32,700,680,565.6,34.8,101.4,135
2,280,22,584,350,565.6,30,115,135
1,515,53,674,718,565.6,31.8,145,130
2,516.9,53,674,720,565.6,31.8,145,130
1,595.4,53,674,733,565.6,31.8,135.9,130
2,400,42,760,800,565.6,31.8,120,135
1,515,53,674,718,565.6,31.8,145,130
1,490.7,53,674,671,565.6,31.8,132.3,130
1,565.8,53,670,883,565.6,28.6,124,130
2,260.3,30,780,700,565.6,50,100,135
2,425,38,670,650,565.6,28.6,110.2,135
1,657.1,53,674,718,565.6,31.8,180,130
1,605,53,674,718,565.6,28.6,200,130
2,475,32,670,733,565.6,31.8,190,135
1,578.8,50,671,870,565.6,34.9,243,130
2,500,40,760,800,565.6,38,100,135
2,315.5,32,705,370,565.6,31.8,125,130
1,515,53,674,718,565.6,31.8,145,130
1,512.2,53,689,668,565.6,28.6,106.6,130
1,576,52,674,820,565.6,28.8,185.8,130
1,560,39,674,825,565.6,28.8,185.8,130
1,578.8,40,686,712,565.6,28.6,160.8,130
1,622.7,53,460,718,565.6,31.8,250,130
1,585.2,48,684,810,565.6,31.8,179.5,130
2,300,53,584,320,565.6,31.8,115,130
2,300,53,584,320,565.6,31.8,115,130
2,353.4,29,640,450,565.6,40,89.9,130
2,400,42,660,698,565.6,31.8,103,135
2,300,22,584,0,565.6,31.8,115,130
1,446.2,38,685,653,565.6,28.6,90,135
1,385.1,36,692,500,565.6,31.8,130,135
1,340.1,32,609,410,565.6,31.8,130,135
2,296.3,22,584,310,565.6,31.8,115,130
1,540,53,674,730,565.6,31.8,122.4,130
1,588.4,40,686,712,565.6,28.6,151.2,130
1,592,53,724,718,565.6,31.8,158.8,130
1,540,53,674,730,565.6,31.8,158.1,130
1,730,44,680,800,565.6,35,170,130
2,420,34,640,650,565.6,30.9,109.7,135
1,549.3,48,684,810,565.6,28.6,175,130
1,547,53,674,700,565.6,31.8,103.8,130
1,620,32,640,800,565.6,31.8,180,130
1,404.7,53,700,475,565.6,31.8,145,130
2,420,36,674,718,565.6,27.2,106.4,135
2,445,44,670,718,565.6,27.2,124.8,135
2,440,44,670,718,565.6,27.2,124.8,135
2,440,44,670,718,565.6,27.2,124.8,135
1,605,48,684,810,565.6,28.6,179.6,130
1,581.3,53,674,700,565.6,31.8,129.8,130
1,581.3,53,674,700,565.6,31.8,156,130
1,547,53,674,700,565.6,31.8,105.7,130
2,370,36,745,685,565.6,28.6,105,135
2,568.4,32,710,807,565.6,31.8,118.8,130
1,502.4,53,674,666,565.6,31.8,142.4,130
1,567.2,53,674,718,565.6,29,149.2,130
1,569.1,53,674,785,565.6,28.6,127.8,130
2,323.1,25,730,415,565.6,31.8,145,110
2,323.1,25,730,415,565.6,31.8,145,110
1,567.2,53,674,718,565.6,29,149.2,130
1,567.2,53,674,718,565.6,29,149.2,130
1,567.2,53,674,718,565.6,29,149.2,130
1,567.2,53,674,718,565.6,29,149.2,130
2,323.1,25,730,415,565.6,31.8,145,110
1,517,53,674,718,565.6,31.8,145,130
1,592,53,724,718,565.6,31.8,158.8,130
1,515.4,53,674,718,565.6,31.8,144.8,120
1,550,53,463,718,565.6,31.8,250,130
1,515,53,674,718,565.6,31.8,145,130
2,519.9,44,710,807,565.6,31.8,160,135
1,519,53,674,718,565.6,31.8,145,130
1,482,53,674,718,565.6,31.8,114.1,135
1,547.8,48,684,810,565.6,28.6,179.5,130
2,296.3,22,584,310,565.6,31.8,115,130
1,549,53,700,715,565.6,28.6,115,130
2,405,38,725,518,565.6,38,100,135
2,350,38,725,448,565.6,38,100,135
2,450,38,725,538,565.6,38,100,135
2,355.3,38,700,500,565.6,35.8,86.2,135
2,403.1,38,700,500,565.6,35.8,85.6,135
2,451.6,38,700,550,565.6,35.8,100.4,135
1,519,53,674,718,565.6,31.8,145,130
1,474.7,40,674,655,565.6,31.8,135,130
1,578.7,50,671,870,565.6,34.9,243,130
2,480,36,670,755,565.6,30,133.2,135
2,276.3,22,680,310,565.6,31.8,110,130
2,276.3,22,680,310,565.6,31.8,110,130
2,480,36,670,755,565.6,30,132,135
1,381.5,38,725,455,565.6,31,100,130
1,601.6,53,674,725,565.6,31.8,151.1,130
2,520,42,680,763,565.6,35,140.4,135
2,520,42,680,763,565.6,35,140.4,135
2,520,42,680,763,565.6,35,140.4,135
2,520,42,680,763,565.6,35,140.4,135
1,600,48,674,780,565.6,31.8,184.9,130
2,393,34,700,718,565.6,31.8,120,135
2,560,42,712,718,565.6,31.8,140,135
2,279,28,680,358,565.6,31.8,129.2,130
1,510,50,674,718,565.6,31.8,110,130
1,539.8,48,650,675,565.6,31.8,190.8,130
2,485,36,670,755,565.6,30,125,135
2,527,33,670,770,565.6,31.8,115,130
1,567.5,53,674,718,565.6,31.8,145,130
1,560.8,53,674,765,565.6,31.8,128.6,130
1,512.5,43,674,718,565.6,31.8,145,130
2,544.3,53,674,718,565.6,31.8,276.3,130
1,520,48,650,675,565.6,28.6,189.3,130
1,567.2,53,674,718,565.6,35,144.7,130
1,567.2,53,674,718,565.6,35,144.7,130
1,567.2,53,674,718,565.6,35,144.7,130
1,494.1,53,674,718,565.6,31.8,145.3,130
1,600,53,674,718,565.6,31.8,145,130
1,567.2,53,674,718,565.6,35,144.7,130
1,567.2,53,674,718,565.6,35,144.7,130
1,567.2,53,674,718,565.6,35,144.7,130
1,567.2,53,674,718,565.6,29,149.2,130
1,567.2,53,674,718,565.6,29,144.7,130
1,567.2,53,674,718,565.6,29,144.7,130
1,567.2,53,674,718,565.6,29,144.7,130
1,567.2,53,674,718,565.6,29,144.7,130
1,567.2,53,674,718,565.6,29,144.7,130
1,515.3,53,674,718,565.6,31.8,145,130
1,515,52,689,768,565.6,31.8,145,130
2,400,36,730,628,565.6,32,115,175
1,544.7,50,684,726,565.6,28.6,147,130
2,635,44,740,740,565.6,29,279.7,135
1,545,50,674,764,565.6,28.6,148.6,130
1,640,53,674,807,565.6,31.8,193.3,130
1,550,52,486,780,565.6,28.6,287.6,120
1,536.8,53,695,765,565.6,29,158.1,130
1,510,35,736,750,565.6,31.8,105,135
1,630,50,674,875,565.6,31.8,278.6,130
1,625.6,52,674,795,565.6,40,170,130
